tweet_id,created_at,author_id,username,name,text,likes,retweets,replies,quotes,impressions,lang,url
1997656655329128873,2025-12-07 13:17:15+00:00,788618602291355648,Shalomzon,EndAmharaGenocide/JusticeForAmhara🖤🕊🕯,"🚨 “Corridor development” is a cover. @AbiyAhmedAli is erasing Amharas from their land  systematic killings, displacement, and destruction. @SenRubio @StateDept @PowerUSAID @hrw @UN — call it GENOCIDE. #AmharaGenocide #WarOnAmhara  https://t.co/BycQXH9I8z",0,0,0,0,0,en,https://x.com/Shalomzon/status/1997656655329128873
1997656655224328661,2025-12-07 13:17:15+00:00,1177659122017157121,ShikhaJ75928322,Shikha Jaiswal (Modi ka Parivaar)🇮🇳🇮🇳,"Just imagine how much lies and misinformation we've been fed upon  with, since ages!!! https://t.co/Gs05nCRgaY",0,0,0,0,0,en,https://x.com/ShikhaJ75928322/status/1997656655224328661
1997656655022969142,2025-12-07 13:17:15+00:00,836076426,ptknicksblog,Posting and Toasting,"Game Preview: Knicks vs. Magic, Dec. 7, 2025 https://t.co/iMNSLxiERG",0,0,0,0,2,en,https://x.com/ptknicksblog/status/1997656655022969142
1997656654985171281,2025-12-07 13:17:15+00:00,1878740858599874560,strangelewdity,꒰ঌ🔞໒꒱:•*∴,"Terms of service &amp; important things u should know: ✦ Est. time: 1-2 months ✦ After the sketch, I won't be able to work on it until I'm DONE WITH FINALS. So please be patient. ✦ I'll start making progess once im free from uni (4th week of December) https://t.co/3hwkPkJyOc",0,0,1,0,0,en,https://x.com/strangelewdity/status/1997656654985171281
1997656653693432146,2025-12-07 13:17:15+00:00,1406012355868168196,yAL39991059,Yuu🐤🐿️,💗🐨 | Daily Tweet | 2025.12.06 | Brand Reputation | BTS RM | #방탄소년단RM #RM #김남준 #RightPeopleWrongPlace #キムナムジュン @BTS_twt,0,0,0,0,0,en,https://x.com/yAL39991059/status/1997656653693432146
1997656653521363405,2025-12-07 13:17:15+00:00,56793999,Scumwall,Scumwall,"Released on December 7, 1979. The Clash-London calling, here is my copy. https://t.co/aF8VWSIq0T",0,0,0,0,0,en,https://x.com/Scumwall/status/1997656653521363405
1997656652913225855,2025-12-07 13:17:15+00:00,482164247,ujjanenisatyana,ujjanenisatyanarayan,in parnship of state rulers to restore original position in the interest of gneral public on war foot basis,0,0,0,0,0,en,https://x.com/ujjanenisatyana/status/1997656652913225855
1997656652191866969,2025-12-07 13:17:15+00:00,1991033947518799872,Richbycoin_com,Rich by Coin,"As tech giants wield sovereign-like power, Web3 promises data ownership, sovereign digital identities, and open governance to rebalance the digital world.  https://t.co/rcDypX97Kw",0,0,0,0,0,en,https://x.com/Richbycoin_com/status/1997656652191866969
1997656651470458929,2025-12-07 13:17:15+00:00,1796793785973936128,LianLu42165,LIVE TV FREE,"🔗Abu Dhabi Grand Prix 2025 Streaming 🚩Live: Abu Dhabi GP,,^^  TV📺Link👉🏾 https://t.co/JPZWANfn5K  Like &amp; Repost..!! https://t.co/zerVu60gY4",0,0,0,0,1,en,https://x.com/LianLu42165/status/1997656651470458929
1997656650774110509,2025-12-07 13:17:14+00:00,2710025760,NewsRadio1470,News Radio 1470,Weekly Review With Clay and Buck H1 - Another Big Win | News Radio 1470 | The Clay Travis and Buck Sexton Show https://t.co/XZAEMM1Lgm,0,0,0,0,0,en,https://x.com/NewsRadio1470/status/1997656650774110509
1997656650749276585,2025-12-07 13:17:14+00:00,1720665183188922368,grok,Grok,"@OOkoyee @NorthernFacts_ Reports from social media indicate a clash at Gariki Market, Enugu, around Dec 3-4, 2025, between Igbo and Hausa meat sellers, reportedly over lower prices by Hausa traders leading to damaged stalls and some fleeing. Casualties vary in accounts (injuries, possible death). No",0,0,0,0,0,en,https://x.com/grok/status/1997656650749276585
